"venueid","lookupsymbol","securityexchange","currency","securityid","bloombergexchcode"
CAN_Composite,TUO CN Equity,TO,CAD,CA88162H2000,CN
CAN_Composite,TWEL CN Equity,TO,CAD,CA88909Q1090,CN
US_Composite,TWCMU US Equity,US,USD,US60651R2058,UN
US_Composite,TWCMU US Equity,US,USD,US60651R2058,US
CAN_Composite,TTG CN Equity,TO,CAD,CA8931291063,CN
DEU_Composite,TTO GR Equity,DEU,EUR,DE0007501009,GR
US_Composite,TTMMF US Equity,US,USD,TH5097010018,UN
US_Composite,TTMMF US Equity,US,USD,TH5097010018,US
MXN_Composite,TTN MM Equity,MX,MXN,IE00BK9ZQ967,MM
US_Composite,TTNDY US Equity,US,USD,US87873R1014,UN
US_Composite,TTNDY US Equity,US,USD,US87873R1014,US
DEU_Composite,TW4 GR Equity,DEU,EUR,SE0000671711,GR
IN_Composite,TVSSCS IN Equity,IN,INR,INE395N01027,IN
US_Composite,TUYA US Equity,US,USD,US90114C1071,UN
US_Composite,TUYA US Equity,US,USD,US90114C1071,US
US_Composite,TSMWF US Equity,US,USD,TW0002330008,UN
US_Composite,TSMWF US Equity,US,USD,TW0002330008,US
US_Composite,TSN US Equity,US,USD,US9024941034,UN
US_Composite,TSN US Equity,US,USD,US9024941034,US
DEU_Composite,TUO0 GR Equity,DEU,EUR,US88156J1051,GR
US_Composite,TUPRF US Equity,US,USD,TRATUPRS91E8,UN
US_Composite,TUPRF US Equity,US,USD,TRATUPRS91E8,US
CAN_Composite,TSL CN Equity,TO,CAD,CA89467Q2009,CN
US_Composite,TSNDF US Equity,US,USD,CA88105E1088,UN
US_Composite,TSNDF US Equity,US,USD,CA88105E1088,US
US_Composite,TSOCF US Equity,US,USD,JP3443000009,UN
US_Composite,TSOCF US Equity,US,USD,JP3443000009,US
US_Composite,TTBXF US Equity,US,USD,GB00BG49KP99,UN
US_Composite,TTBXF US Equity,US,USD,GB00BG49KP99,US
US_Composite,TWIRF US Equity,US,USD,CA89467Q2009,UN
US_Composite,TWIRF US Equity,US,USD,CA89467Q2009,US
