"venueid","lookupsymbol","securityexchange","currency","securityid","bloombergexchcode"
IN_Composite,VRAJ IN Equity,IN,INR,INE0S2V01010,IN
DEU_Composite,VOW0 GR Equity,DEU,EUR,CA92866T1066,GR
MXN_Composite,VOW3N MM Equity,MX,MXN,DE0007664039,MM
DEU_Composite,W7V GR Equity,DEU,EUR,CA94947L1022,GR
DEU_Composite,VP6 GR Equity,DEU,EUR,AU000000LIN6,GR
DEU_Composite,VS6 GR Equity,DEU,EUR,HK0345001611,GR
US_Composite,VRE US Equity,US,USD,US5544891048,UN
US_Composite,VRE US Equity,US,USD,US5544891048,US
US_Composite,VRED US Equity,US,USD,US92826J1079,UN
US_Composite,VRED US Equity,US,USD,US92826J1079,US
IN_Composite,VSCN IN Equity,IN,INR,INE893I01013,IN
MXN_Composite,VZ* MM Equity,MX,MXN,US92343V1044,MM
MXN_Composite,VRLAN MM Equity,MX,MXN,FR0013447729,MM
IN_Composite,VRLL IN Equity,IN,INR,INE366I01010,IN
CZK_Composite,VOW CP Equity,PR,CZK,DE0007664039,CP
DEU_Composite,W8Y GR Equity,DEU,EUR,CA65366M1023,GR
US_Composite,VS US Equity,US,USD,US92540Q1067,UN
US_Composite,VS US Equity,US,USD,US92540Q1067,US
US_Composite,VSGRY US Equity,US,USD,US92943V1089,UN
US_Composite,VSGRY US Equity,US,USD,US92943V1089,US
US_Composite,VSTM US Equity,US,USD,US92337C2035,UN
US_Composite,VSTM US Equity,US,USD,US92337C2035,US
AUS_Composite,VSL AU Equity,AX,AUD,AU0000181984,AU
BZ_Composite,W2ST34 BZ Equity,BZ,BRL,BRW2STBDR007,BZ
DEU_Composite,WA5 GR Equity,DEU,EUR,JP3992400006,GR
DEU_Composite,VSF GR Equity,DEU,EUR,GB0001482891,GR
DEU_Composite,VOL4 GR Equity,DEU,EUR,US9288541082,GR
CZK_Composite,VOLAG CP Equity,PR,CZK,DE0007664005,CP
DEU_Composite,VZ6 GR Equity,DEU,EUR,CA98422W2022,GR
DEU_Composite,VZAB GR Equity,DEU,EUR,CA9190672076,GR
DEU_Composite,VOH GR Equity,DEU,EUR,SE0013281979,GR
DEU_Composite,VOL1 GR Equity,DEU,EUR,SE0000115446,GR
DEU_Composite,VVUD GR Equity,DEU,EUR,US92852T2015,GR
DEU_Composite,VU70 GR Equity,DEU,EUR,CA2584842033,GR
DEU_Composite,VUG GR Equity,DEU,EUR,ZAE000163382,GR
DEU_Composite,W1Q GR Equity,DEU,EUR,FI0009900559,GR
BZ_Composite,W1SO34 BZ Equity,BZ,BRL,BRW1SOBDR000,BZ
DEU_Composite,W1X GR Equity,DEU,EUR,IL0011301780,GR
DEU_Composite,VOWB GR Equity,DEU,EUR,US9286625010,GR
US_Composite,VVIVF US Equity,US,USD,CA76029E1060,UN
US_Composite,VVIVF US Equity,US,USD,CA76029E1060,US
DEU_Composite,VX0 GR Equity,DEU,EUR,GRS439003005,GR
IN_Composite,VRUDDHI IN Equity,IN,INR,INE0OMZ01013,IN
DEU_Composite,VRV GR Equity,DEU,EUR,SE0018538068,GR
US_Composite,VRVR US Equity,US,USD,US92837H1086,UN
US_Composite,VRVR US Equity,US,USD,US92837H1086,US
ESP_Composite,VYT SM Equity,ESP,EUR,ES0105618005,SM
US_Composite,VYX US Equity,US,USD,US62886E1082,UN
US_Composite,VYX US Equity,US,USD,US62886E1082,US
IN_Composite,VSTT IN Equity,IN,INR,INE764D01017,IN
IN_Composite,VVD IN Equity,IN,INR,INE737C01023,IN
BZ_Composite,VVEO3 BZ Equity,BZ,BRL,BRVVEOACNOR0,BZ
BZ_Composite,W1IX34 BZ Equity,BZ,BRL,BRW1IXBDR002,BZ
